query	address.country_code	un_region	un_subregion	hand_edited	Freq	query_date	place_id	osm_type	display_name	class	type	importance	address.country	reviewed
bpve	br	Americas	South America	FALSE	NA	2021-02-14	179383036	way	BPVE 4Âª CIA, Avenida 6, Cidade UniversitÃ¡ria, Zona Norte do Rio de Janeiro, Rio de Janeiro, RegiÃ£o GeogrÃ¡fica Imediata do Rio de Janeiro, RegiÃ£o Metropolitana do Rio de Janeiro, RegiÃ£o GeogrÃ¡fica IntermediÃ¡ria do Rio de Janeiro, Rio de Janeiro, RegiÃ£o Sudeste, 21941-909, Brasil	amenity	police	0.101	Brasil	FALSE
mariners	us	Americas	Northern America	FALSE	NA	2021-02-14	48766036	node	Mariners, Chesterfield County, Virginia, 23112, United States	place	neighbourhood	0.35	United States	FALSE
laertes	ar	Americas	South America	FALSE	NA	2021-02-14	135362450	way	Laertes, Pinamar, Partido de Pinamar, Buenos Aires, 7167, Argentina	highway	residential	0.2	Argentina	FALSE
british airports authority	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
ugdh	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
g pcr	pt	Europe	Southern Europe	FALSE	NA	2021-02-14	258901114	relation	Paredes de Coura, Viana do Castelo, Alto Minho, Norte, Portugal	boundary	administrative	0.520064245847336	Portugal	FALSE
thrombospondin	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
harvard microrobotics laboratory	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
fisheries research board of canada	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
associated powers	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
ernst haeckel	de	Europe	Western Europe	FALSE	NA	2021-02-14	57425205	node	Ernst Haeckel, 53, Luckenwalder StraÃŸe, Hellersdorf, Marzahn-Hellersdorf, Berlin, 12629, Deutschland	historic	memorial	0.603934641017584	Deutschland	FALSE
red bull air race	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
apidima	gr	Europe	Southern Europe	FALSE	NA	2021-02-14	74680256	node	Apidima Cave, Î‘Ï<81>ÎµÏŒÏ€Î¿Î»Î· - ÎšÎ±Î»Î±Î¼Î¬Ï„Î±, ÎšÎ±Ï<81>Î±Î²Î¿ÏƒÏ„Î¬ÏƒÎ¹, Î›Î¹Î¼Î­Î½Î¹, Î”Î®Î¼Î¿Ï‚ Î‘Î½Î±Ï„Î¿Î»Î¹ÎºÎ®Ï‚ ÎœÎ¬Î½Î·Ï‚, Î ÎµÏ<81>Î¹Ï†ÎµÏ<81>ÎµÎ¹Î±ÎºÎ® Î•Î½ÏŒÏ„Î·Ï„Î± Î›Î±ÎºÏ‰Î½Î¯Î±Ï‚, Î ÎµÏ<81>Î¹Ï†Î­Ï<81>ÎµÎ¹Î± Î ÎµÎ»Î¿Ï€Î¿Î½Î½Î®ÏƒÎ¿Ï…, Î‘Ï€Î¿ÎºÎµÎ½Ï„Ï<81>Ï‰Î¼Î­Î½Î· Î”Î¹Î¿Î¯ÎºÎ·ÏƒÎ· Î ÎµÎ»Î¿Ï€Î¿Î½Î½Î®ÏƒÎ¿Ï…, Î”Ï…Ï„Î¹ÎºÎ®Ï‚ Î•Î»Î»Î¬Î´Î±Ï‚ ÎºÎ±Î¹ Î™Î¿Î½Î¯Î¿Ï…, 23062, Î•Î»Î»Î¬Ï‚	natural	cave_entrance	0.101	Î•Î»Î»Î¬Ï‚	FALSE
matheoud	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
north-east coast institution of engineers	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
tead	ie	Europe	Northern Europe	FALSE	NA	2021-02-14	258866670	relation	Tead Beg, Cloyne, The Municipal District of East Cork, County Cork, Munster, Ã‰ire / Ireland	boundary	administrative	0.35	Ã‰ire / Ireland	FALSE
nadph	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
gipc	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
national council for educational technology	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
